latency,new_obj,coords,num_nodes_removed,llm_mode,global_solution_version,process_name
58.73,23454172,,,LKH,,
89.16,23446705,"[(30000, 70000, 50000, 240000), (432000, 556000, 56000, 280000)]",911.0,fast_thinking,23454172.0,SubTSP‑23454172
90.86,23438814,"[(60000, 330000, 30000, 170000)]",247.0,reasoning,23454172.0,SubTSP‑23446705
105.48,23420674,"[(330000, 585000, 30000, 170000), (60000, 330000, 340000, 560000)]",600.0,reasoning,23454172.0,SubTSP‑23438814
126.96,23420674,"[(30000, 70000, 80000, 360000), (579000, 588000, 60000, 360000)]",1427.0,fast_thinking,23454172.0,SubTSP‑23420674
149.97,23416056,"[(7457, 32957, 330539, 496614), (620000, 626500, 50000, 540000)]",887.0,reasoning,23438814.0,SubTSP‑23420674
168.61,23408159,"[(120000, 340000, 40000, 320000), (360000, 580000, 40000, 320000)]",767.0,fast_thinking,23420674.0,SubTSP‑23416056
183.79,23403208,"[(42000, 190000, 30000, 260000)]",724.0,fast_thinking,23420674.0,SubTSP‑23408159
185.28,23400889,"[(0, 80000, 0, 60000), (610000, 690717, 0, 60000)]",373.0,reasoning,23420674.0,SubTSP‑23403208
189.95,23399976,"[(40000, 90000, 30000, 240000), (508000, 572000, 48000, 488000)]",941.0,fast_thinking,23420674.0,SubTSP‑23400889
227.31,23398257,"[(38000, 42000, 80000, 420000), (578000, 604000, 50000, 240000)]",729.0,fast_thinking,23416056.0,SubTSP‑23399976
242.11,23392739,"[(360000, 560000, 30000, 420000)]",633.0,fast_thinking,23399976.0,SubTSP‑23398257
290.14,23391425,"[(36600, 46200, 60000, 500000)]",992.0,fast_thinking,23399976.0,SubTSP‑23392739
317.14,23383411,"[(430000, 570000, 40000, 460000)]",756.0,fast_thinking,23392739.0,SubTSP‑23391425
332.55,23383411,"[(32000, 52800, 321000, 557000), (618000, 630900, 180000, 420000)]",1127.0,reasoning,23392739.0,SubTSP‑23383411
357.05,23382512,"[(432000, 572000, 48000, 320000)]",459.0,fast_thinking,23391425.0,SubTSP‑23383411
402.75,23381740,"[(432000, 560000, 40000, 460000)]",621.0,fast_thinking,23383411.0,SubTSP‑23382512
420.17,23374121,"[(36000, 46000, 40000, 400000), (578000, 588500, 60000, 480000)]",1531.0,fast_thinking,23383411.0,SubTSP‑23381740
437.42,23374121,"[(70000, 300000, 20000, 360000), (619000, 628500, 80000, 460000)]",1363.0,reasoning,23383411.0,SubTSP‑23374121
472.45,23373134,"[(36800, 45200, 48000, 488000)]",980.0,fast_thinking,23381740.0,SubTSP‑23374121
571.28,23368881,"[(22000, 120000, 2000, 240000)]",898.0,fast_thinking,23373134.0,SubTSP‑23373134
610.53,23368881,"[(35000, 44000, 40000, 480000), (568000, 592000, 48000, 360000)]",1559.0,fast_thinking,23373134.0,SubTSP‑23368881
631.35,23368516,"[(618000, 626000, 80000, 500000)]",732.0,reasoning,23373134.0,SubTSP‑23368881
641.43,23366539,"[(578000, 588500, 50000, 360000)]",489.0,fast_thinking,23368881.0,SubTSP‑23368516
694.88,23340255,"[(565000, 635000, 30000, 210000), (620000, 628000, 50000, 540000)]",1409.0,reasoning,23368881.0,SubTSP‑23366539
756.88,23340255,"[(37000, 44000, 80000, 420000), (578000, 586000, 80000, 300000)]",766.0,fast_thinking,23340255.0,SubTSP‑23340255
775.13,23338597,"[(617000, 627000, 50000, 540000)]",948.0,reasoning,23340255.0,SubTSP‑23340255
828.43,23337207,"[(620000, 628000, 90000, 520000)]",844.0,reasoning,23340255.0,SubTSP‑23338597
834.42,23337207,"[(36000, 42800, 44000, 456000), (582000, 588000, 60000, 360000)]",917.0,fast_thinking,23338597.0,SubTSP‑23337207
867.39,23337207,"[(54000, 115000, 45000, 520000), (620000, 628000, 80000, 520000)]",1254.0,reasoning,23337207.0,SubTSP‑23337207
891.09,23337207,"[(590000, 618000, 220000, 460000), (460000, 560000, 60000, 420000)]",710.0,reasoning,23337207.0,SubTSP‑23337207
940.07,23325030,"[(43000, 140000, 40000, 500000)]",964.0,fast_thinking,23337207.0,SubTSP‑23337207
957.9,23325030,"[(90000, 330000, 36000, 560000), (618000, 627000, 60000, 520000)]",1406.0,reasoning,23337207.0,SubTSP‑23325030
